#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	SRR5665187_mtphln2	SRR5665186_mtphln2	SRR5665185_mtphln2	SRR5665184_mtphln2	SRR5665183_mtphln2	SRR5665182_mtphln2	SRR5665181_mtphln2	SRR5665180_mtphln2	SRR5665179_mtphln2	SRR5665178_mtphln2	SRR5665164_mtphln2	SRR5665163_mtphln2	SRR5665162_mtphln2	SRR5665161_mtphln2	SRR5665160_mtphln2	SRR5665159_mtphln2	SRR5665158_mtphln2	SRR5665157_mtphln2	SRR5665156_mtphln2	SRR5665155_mtphln2	SRR5665144_mtphln2	SRR5665143_mtphln2	SRR5665142_mtphln2	SRR5665141_mtphln2	SRR5665140_mtphln2	SRR5665139_mtphln2	SRR5665138_mtphln2	SRR5665137_mtphln2	SRR5665136_mtphln2	SRR5665135_mtphln2	SRR5665134_mtphln2	SRR5665123_mtphln2	SRR5665122_mtphln2	SRR5665121_mtphln2	SRR5665120_mtphln2	SRR5665119_mtphln2	SRR5665118_mtphln2	SRR5665117_mtphln2	SRR5665116_mtphln2	SRR5665115_mtphln2	SRR5665114_mtphln2	SRR5665103_mtphln2	SRR5665081_mtphln2	SRR5665080_mtphln2	SRR5665079_mtphln2	SRR5665078_mtphln2	SRR5665077_mtphln2	SRR5665076_mtphln2	SRR5665075_mtphln2	SRR5665074_mtphln2	SRR5665073_mtphln2	SRR5665072_mtphln2	SRR5665061_mtphln2	SRR5665060_mtphln2	SRR5665059_mtphln2	SRR5665058_mtphln2	SRR5665057_mtphln2	SRR5665056_mtphln2	SRR5665055_mtphln2	SRR5665054_mtphln2	SRR5665053_mtphln2	SRR5665052_mtphln2	SRR5665051_mtphln2	SRR5665050_mtphln2	SRR5665049_mtphln2	SRR5665048_mtphln2	SRR5665047_mtphln2	SRR5665046_mtphln2	SRR5665045_mtphln2	SRR5665044_mtphln2	SRR5665043_mtphln2	SRR5665042_mtphln2	SRR5665041_mtphln2	SRR5665035_mtphln2	SRR5665034_mtphln2	SRR5665033_mtphln2	SRR5665032_mtphln2	SRR5665031_mtphln2	SRR5665030_mtphln2	SRR5665029_mtphln2	SRR5665028_mtphln2	SRR5665027_mtphln2	SRR5665026_mtphln2	SRR5665025_mtphln2	SRR5665024_mtphln2
UNKNOWN	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea	2157	0	3.31525	0	0	0	0	4.20868	0.06511	0	0	0.34012	0	0	3.83929	0	0	0	0	1.8288400000000002	0	0	7.04863	0	0	0	0	0	0	0	0	0	2.3890000000000002	0	0	0	3.41085	0	0	0	0	1.7689	0	0	0	5.44471	0	0.2792	0	0	1.9922099999999998	0	1.32572	0	0	0	0.49928999999999996	3.58965	0	0.012190000000000001	0	8.77876	0	1.11196	0	0	0	0	0	0	4.95461	0	0	0	0	3.2932300000000003	0	0	0	0	0.14967	0	0.9918	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	3.31525	0	0	0	0	4.20868	0.06511	0	0	0.34012	0	0	3.83929	0	0	0	0	1.8288400000000002	0	0	7.04863	0	0	0	0	0	0	0	0	0	2.3890000000000002	0	0	0	3.41085	0	0	0	0	1.7689	0	0	0	5.44471	0	0.2792	0	0	1.9922099999999998	0	1.32572	0	0	0	0.49928999999999996	3.58965	0	0.012190000000000001	0	8.77876	0	1.11196	0	0	0	0	0	0	4.95461	0	0	0	0	3.2932300000000003	0	0	0	0	0.14967	0	0.9918	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	3.31525	0	0	0	0	4.20868	0.06511	0	0	0.34012	0	0	3.83929	0	0	0	0	1.8288400000000002	0	0	7.04863	0	0	0	0	0	0	0	0	0	2.3890000000000002	0	0	0	3.41085	0	0	0	0	1.7689	0	0	0	5.44471	0	0.2792	0	0	1.9922099999999998	0	1.32572	0	0	0	0.49928999999999996	3.58965	0	0.012190000000000001	0	8.77876	0	1.11196	0	0	0	0	0	0	4.95461	0	0	0	0	3.2932300000000003	0	0	0	0	0.14967	0	0.9918	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	3.31525	0	0	0	0	4.20868	0.06511	0	0	0.34012	0	0	3.83929	0	0	0	0	1.8288400000000002	0	0	7.04863	0	0	0	0	0	0	0	0	0	2.3890000000000002	0	0	0	3.41085	0	0	0	0	1.7689	0	0	0	5.44471	0	0.2792	0	0	1.9922099999999998	0	1.32572	0	0	0	0.49928999999999996	3.58965	0	0.012190000000000001	0	8.77876	0	1.11196	0	0	0	0	0	0	4.95461	0	0	0	0	3.2932300000000003	0	0	0	0	0.14967	0	0.9918	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	3.31525	0	0	0	0	4.20868	0.06511	0	0	0.34012	0	0	3.83929	0	0	0	0	1.8288400000000002	0	0	7.04863	0	0	0	0	0	0	0	0	0	2.3890000000000002	0	0	0	3.41085	0	0	0	0	1.7689	0	0	0	5.44471	0	0.2792	0	0	1.9922099999999998	0	1.32572	0	0	0	0.49928999999999996	3.58965	0	0.012190000000000001	0	8.77876	0	1.11196	0	0	0	0	0	0	4.95461	0	0	0	0	3.2932300000000003	0	0	0	0	0.14967	0	0.9918	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	3.31525	0	0	0	0	4.20868	0.06511	0	0	0.34012	0	0	3.83929	0	0	0	0	1.8288400000000002	0	0	7.04863	0	0	0	0	0	0	0	0	0	2.3890000000000002	0	0	0	3.41085	0	0	0	0	1.7689	0	0	0	5.44471	0	0.15912	0	0	1.9922099999999998	0	1.32572	0	0	0	0.49928999999999996	3.58965	0	0.012190000000000001	0	8.77876	0	1.11196	0	0	0	0	0	0	4.95461	0	0	0	0	3.2932300000000003	0	0	0	0	0.14967	0	0.9918	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	3.31525	0	0	0	0	4.20868	0.06511	0	0	0.34012	0	0	3.83929	0	0	0	0	1.8288400000000002	0	0	7.04863	0	0	0	0	0	0	0	0	0	2.3890000000000002	0	0	0	3.41085	0	0	0	0	1.7689	0	0	0	5.44471	0	0.15912	0	0	1.9922099999999998	0	1.32572	0	0	0	0.49928999999999996	3.58965	0	0.012190000000000001	0	8.77876	0	1.11196	0	0	0	0	0	0	4.95461	0	0	0	0	3.2932300000000003	0	0	0	0	0.14967	0	0.9918	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12007000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12007000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
