clade_name	NCBI_tax_id	SRR5665187_mtphln2	SRR5665186_mtphln2	SRR5665185_mtphln2	SRR5665184_mtphln2	SRR5665183_mtphln2	SRR5665182_mtphln2	SRR5665181_mtphln2	SRR5665180_mtphln2	SRR5665179_mtphln2	SRR5665178_mtphln2	SRR5665164_mtphln2	SRR5665163_mtphln2	SRR5665162_mtphln2	SRR5665161_mtphln2	SRR5665160_mtphln2	SRR5665159_mtphln2	SRR5665158_mtphln2	SRR5665157_mtphln2	SRR5665156_mtphln2	SRR5665155_mtphln2	SRR5665144_mtphln2	SRR5665143_mtphln2	SRR5665142_mtphln2	SRR5665141_mtphln2	SRR5665140_mtphln2	SRR5665139_mtphln2	SRR5665138_mtphln2	SRR5665137_mtphln2	SRR5665136_mtphln2	SRR5665135_mtphln2	SRR5665134_mtphln2	SRR5665123_mtphln2	SRR5665122_mtphln2	SRR5665121_mtphln2	SRR5665120_mtphln2	SRR5665119_mtphln2	SRR5665118_mtphln2	SRR5665117_mtphln2	SRR5665116_mtphln2	SRR5665115_mtphln2	SRR5665114_mtphln2	SRR5665103_mtphln2	SRR5665081_mtphln2	SRR5665080_mtphln2	SRR5665079_mtphln2	SRR5665078_mtphln2	SRR5665077_mtphln2	SRR5665076_mtphln2	SRR5665075_mtphln2	SRR5665074_mtphln2	SRR5665073_mtphln2	SRR5665072_mtphln2	SRR5665061_mtphln2	SRR5665060_mtphln2	SRR5665059_mtphln2	SRR5665058_mtphln2	SRR5665057_mtphln2	SRR5665056_mtphln2	SRR5665055_mtphln2	SRR5665054_mtphln2	SRR5665053_mtphln2	SRR5665052_mtphln2	SRR5665051_mtphln2	SRR5665050_mtphln2	SRR5665049_mtphln2	SRR5665048_mtphln2	SRR5665047_mtphln2	SRR5665046_mtphln2	SRR5665045_mtphln2	SRR5665044_mtphln2	SRR5665043_mtphln2	SRR5665042_mtphln2	SRR5665041_mtphln2	SRR5665035_mtphln2	SRR5665034_mtphln2	SRR5665033_mtphln2	SRR5665032_mtphln2	SRR5665031_mtphln2	SRR5665030_mtphln2	SRR5665029_mtphln2	SRR5665028_mtphln2	SRR5665027_mtphln2	SRR5665026_mtphln2	SRR5665025_mtphln2	SRR5665024_mtphln2
Methanobacteriaceae	2157|28890|183925|2158|2159	0	4.08519	0	0	0	0	5.3647800000000005	0.11497	0	0	0.42389	0	0	5.18776	0	0	0	0	2.2597400000000003	0	0	8.24227	0	0	0	0	0	0	0	0	0	3.3373199999999996	0.01516	0	0	4.38108	0	0	0	0	2.05372	0	0	0	7.076160000000001	0	0.6491899999999999	0	0	2.5972	0	2.08513	0	0	0	0.6221899999999999	4.392580000000001	0	0.22343000000000002	0	11.29186	0	2.94179	0	0	0	0	0	0	6.28367	0	0	0	0	4.2422699999999995	0	0	0	0	0.2088	0	1.28739	0	0	0
Actinomycetaceae	2|201174|1760|2037|2049	0.013309999999999999	0	0	0	0.01151	0.053860000000000005	0	0.10092000000000001	0.02418	0	0.00899	0.10075	0	0	0	0	0.37623	0	0	0	0.07591	0	0	0	0.48081999999999997	0.0597	0	0	0.03642	0	0.16772	0	0.17798	0	0.060239999999999995	0	0.04222	0	0	0	0	0	0	0	0	0	0.09888	0.04172	0.13727	0	0.23271999999999998	0	0.00748	0	0	0	0	0.0162	0.25292	0.41088	0	0	0	0	0	0	0	0	0.0039700000000000004	0	0	0	0	0.03599	0	0	0	0	0	0.009000000000000001	0	0	0	0	0
Bifidobacteriaceae	2|201174|1760|85004|31953	7.34236	0	5.82712	0	0.22974	5.92587	0	26.81778	0	10.63242	3.70925	0	0.0772	0	30.64855	12.91264	13.633629999999998	9.05976	38.04163	0	6.90447	0	14.824760000000001	0	0	30.467859999999998	0	0	1.62792	2.8039	0.0211	0	1.34966	0	1.5058	1.3099	18.46251	78.25171	0	0	0	0	0	0	5.7079	20.21217	0	0	0	32.90886	0.04386	2.4022	0	0	0	11.67507	3.6531800000000003	44.17836	0	17.00909	0	11.325339999999999	3.0590200000000003	0.61503	0	12.59435	46.77346	0	3.99445	5.365069999999999	0	0.44909	6.29505	8.48501	0	22.84362	25.90256	2.2407	1.5839	26.591390000000004	4.28446	0.789	3.51084	5.339180000000001	0
Corynebacteriales_unclassified		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1520799999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcaceae	2|201174|1760|85006|1268	0	0	0	0	0	0.08236	0	0.13217	0	0	0	0	0	0	0	0	0	0	0	0	0.18558	0	0.07721	0	0.08104	0	0	0	0.39979000000000003	0	0	0	0.055170000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0.00555	0	0	0	0	0.05946	0	0	0	0	0	0	0	0.10142999999999999	0	0	0	0	0	0.07242	0	0.00647	0	0	0	0	0	0	0	0.37567	0	0.08786000000000001	0	0	0.01183	0.0592	0	0	0	0
Propionibacteriaceae	2|201174|1760|85009|31957	0	0	0.02815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029960000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17464000000000002	0	0	0	0	0	0	0	0	0	0	0
Atopobiaceae	2|201174|84998|84999|1643824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054439999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coriobacteriaceae	2|201174|84998|84999|84107	23.518279999999997	6.0328599999999994	4.10879	1.4169399999999999	4.67581	10.11635	3.6670599999999998	17.00392	5.9910000000000005	0	9.95952	0	0	3.2860300000000002	0.44682	31.599259999999997	23.58653	0.043089999999999996	10.98472	0	2.64637	0.20387	5.7899400000000005	0.07964	0.08277000000000001	0	0	0	7.44031	9.00602	4.17696	0	8.783439999999999	0	17.93286	4.0118	10.81915	21.74829	0	21.13936	0.14374	0	0	2.05915	7.872330000000001	2.35586	17.05017	3.5258	17.63725	19.54245	21.2227	13.33058	5.1681	0	7.1764	5.59494	1.6499400000000002	12.96952	12.01055	11.4207	0	9.46787	41.537890000000004	0	0	0	12.80707	0	21.598860000000002	11.18672	0	0.11760999999999999	9.66681	8.829139999999999	5.98245	0	0	0.08794	0	6.86345	21.54927	2.17725	2.87305	6.2198400000000005	0
Eggerthellaceae	2|201174|84998|1643822|1643826	2.4235599999999997	7.332910000000001	3.09159	0.25668	1.11658	0.34776999999999997	0.007640000000000001	1.03712	0.95545	3.1661	0.16507	4.3301	0.15634	0	0	2.1183400000000003	1.56808	0.95683	0.43063	0	0.48921000000000003	2.63377	0.32439	3.51551	5.73792	2.86004	0	2.1209700000000002	2.0085	1.0102	3.3550400000000002	5.81123	1.27693	0	1.06829	0.12569	3.04187	0	4.34251	1.24558	0.88328	0	0	9.79332	0.25306	0.22721	4.57486	6.5233099999999995	1.03404	0.06734	1.2449299999999999	0.60127	3.80044	0	0.52265	3.08186	0.10765	2.03508	14.529229999999998	1.41208	0.6319100000000001	0.81043	5.3721	1.2360200000000001	2.0486	4.01302	1.30273	3.5640400000000003	1.97445	1.60554	1.0541399999999999	0.65037	1.11129	0.9906	1.3258299999999998	0.72858	3.19282	1.8551	0.19363	0.1189	1.58107	0.5613	0.16039	0.19673	0
Bacteroidaceae	2|976|200643|171549|815	0.2842	9.01293	8.77487	8.03214	0.09143	0.33168000000000003	2.52779	0.09312999999999999	10.20464	0.85554	4.10881	2.92104	34.413090000000004	1.08112	0	0.8127300000000001	6.86682	4.0059	7.9058399999999995	0	0.89155	1.59379	1.3885299999999998	0.97849	0	0	0	0	0	6.55915	1.7322400000000002	3.3753	0.7896	0	0.55156	4.2004	0.054729999999999994	0	0.42757	1.25999	4.18468	0	0	8.63686	1.23071	3.39791	3.5326400000000002	25.66674	0.10347	0.23364000000000001	0.01853	2.57835	11.78761	0	0	0	2.72684	0	20.893279999999997	5.1727099999999995	0.12993	2.5323900000000004	1.49055	13.56901	1.0801	0.21466999999999997	0.6428	0	0	0.7025100000000001	6.671819999999999	0.81186	0.29478000000000004	0.01152	0.12180999999999999	0.02914	0.19155	3.92323	2.95053	0.34048	0.63352	0.93425	5.89705	7.1958899999999995	0
