clade_name	NCBI_tax_id	SRR5665187_mtphln2	SRR5665186_mtphln2	SRR5665185_mtphln2	SRR5665184_mtphln2	SRR5665183_mtphln2	SRR5665182_mtphln2	SRR5665181_mtphln2	SRR5665180_mtphln2	SRR5665179_mtphln2	SRR5665178_mtphln2	SRR5665164_mtphln2	SRR5665163_mtphln2	SRR5665162_mtphln2	SRR5665161_mtphln2	SRR5665160_mtphln2	SRR5665159_mtphln2	SRR5665158_mtphln2	SRR5665157_mtphln2	SRR5665156_mtphln2	SRR5665155_mtphln2	SRR5665144_mtphln2	SRR5665143_mtphln2	SRR5665142_mtphln2	SRR5665141_mtphln2	SRR5665140_mtphln2	SRR5665139_mtphln2	SRR5665138_mtphln2	SRR5665137_mtphln2	SRR5665136_mtphln2	SRR5665135_mtphln2	SRR5665134_mtphln2	SRR5665123_mtphln2	SRR5665122_mtphln2	SRR5665121_mtphln2	SRR5665120_mtphln2	SRR5665119_mtphln2	SRR5665118_mtphln2	SRR5665117_mtphln2	SRR5665116_mtphln2	SRR5665115_mtphln2	SRR5665114_mtphln2	SRR5665103_mtphln2	SRR5665081_mtphln2	SRR5665080_mtphln2	SRR5665079_mtphln2	SRR5665078_mtphln2	SRR5665077_mtphln2	SRR5665076_mtphln2	SRR5665075_mtphln2	SRR5665074_mtphln2	SRR5665073_mtphln2	SRR5665072_mtphln2	SRR5665061_mtphln2	SRR5665060_mtphln2	SRR5665059_mtphln2	SRR5665058_mtphln2	SRR5665057_mtphln2	SRR5665056_mtphln2	SRR5665055_mtphln2	SRR5665054_mtphln2	SRR5665053_mtphln2	SRR5665052_mtphln2	SRR5665051_mtphln2	SRR5665050_mtphln2	SRR5665049_mtphln2	SRR5665048_mtphln2	SRR5665047_mtphln2	SRR5665046_mtphln2	SRR5665045_mtphln2	SRR5665044_mtphln2	SRR5665043_mtphln2	SRR5665042_mtphln2	SRR5665041_mtphln2	SRR5665035_mtphln2	SRR5665034_mtphln2	SRR5665033_mtphln2	SRR5665032_mtphln2	SRR5665031_mtphln2	SRR5665030_mtphln2	SRR5665029_mtphln2	SRR5665028_mtphln2	SRR5665027_mtphln2	SRR5665026_mtphln2	SRR5665025_mtphln2	SRR5665024_mtphln2
Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	4.08519	0	0	0	0	5.3647800000000005	0.11497	0	0	0.42389	0	0	5.18776	0	0	0	0	2.2597400000000003	0	0	8.24227	0	0	0	0	0	0	0	0	0	3.3373199999999996	0.01516	0	0	4.38108	0	0	0	0	2.05372	0	0	0	7.076160000000001	0	0.41634	0	0	2.5972	0	1.32572	0	0	0	0.6221899999999999	4.392580000000001	0	0.22343000000000002	0	11.29186	0	2.94179	0	0	0	0	0	0	6.28367	0	0	0	0	4.2422699999999995	0	0	0	0	0.2088	0	1.28739	0	0	0
Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0.053860000000000005	0	0	0	0	0	0	0	0	0	0	0.23624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	2|201174|1760|2037|2049|1654	0.013309999999999999	0	0	0	0.01151	0	0	0.10092000000000001	0.02418	0	0.00899	0.10075	0	0	0	0	0.13999	0	0	0	0.07591	0	0	0	0.48081999999999997	0.0597	0	0	0.03642	0	0.16772	0	0.17798	0	0.060239999999999995	0	0.04222	0	0	0	0	0	0	0	0	0	0.09888	0.04172	0.13727	0	0.23271999999999998	0	0.00748	0	0	0	0	0.0162	0.20432	0.41088	0	0	0	0	0	0	0	0	0.0039700000000000004	0	0	0	0	0.03599	0	0	0	0	0	0.009000000000000001	0	0	0	0	0
Trueperella	2|201174|1760|2037|2049|1069494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	2|201174|1760|85004|31953|1678	7.34236	0	5.82712	0	0.22974	5.92587	0	26.81778	0	10.63242	3.70925	0	0.0772	0	30.64855	12.91264	13.633629999999998	9.05976	38.04163	0	6.90447	0	14.824760000000001	0	0	30.467859999999998	0	0	1.62792	2.8039	0.0211	0	1.34966	0	1.5058	1.3099	18.46251	78.25171	0	0	0	0	0	0	5.7079	20.21217	0	0	0	32.90886	0.04386	2.70182	0	0	0	11.67507	3.6531800000000003	44.17836	0	17.00909	0	11.325339999999999	3.0590200000000003	0.61503	0	12.59435	46.77346	0	3.99445	5.365069999999999	0	0.44909	6.29505	8.48501	0	22.84362	25.90256	2.2407	1.5839	26.591390000000004	4.28446	0.789	3.51084	5.339180000000001	0
Lawsonella	2|201174|1760|85007||1847725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1520799999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	2|201174|1760|85006|1268|32207	0	0	0	0	0	0.08236	0	0.13217	0	0	0	0	0	0	0	0	0	0	0	0	0.18558	0	0.07721	0	0.08104	0	0	0	0.39979000000000003	0	0	0	0.055170000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0.00555	0	0	0	0	0.05946	0	0	0	0	0	0	0	0.10142999999999999	0	0	0	0	0	0.07242	0	0.00647	0	0	0	0	0	0	0	0.37567	0	0.08786000000000001	0	0	0.01183	0.0592	0	0	0	0
Propionibacterium	2|201174|1760|85009|31957|1743	0	0	0.02815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029960000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17464000000000002	0	0	0	0	0	0	0	0	0	0	0
Atopobium	2|201174|84998|84999|1643824|1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054439999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella	2|201174|84998|84999|84107|102106	23.5126	6.0328599999999994	4.10879	1.4169399999999999	4.67581	10.11635	3.6670599999999998	17.00392	5.9910000000000005	0	9.95952	0	0	3.2860300000000002	0.44682	31.599259999999997	23.58653	0.043089999999999996	10.743160000000001	0	2.64637	0	5.7899400000000005	0.07964	0.08277000000000001	0	0	0	7.44031	9.00602	4.17696	0	8.783439999999999	0	17.93286	4.0118	10.81915	21.74829	0	21.13936	0.14374	0	0	1.80405	7.872330000000001	2.35586	17.05017	3.5258	17.632579999999997	19.53898	21.2227	14.833160000000001	5.1681	0	7.1764	5.59494	1.6499400000000002	12.96952	12.0049	11.4207	0	9.46787	41.537890000000004	0	0	0	12.78445	0	21.598860000000002	11.18672	0	0.11760999999999999	9.66681	8.829139999999999	5.98245	0	0	0.08794	0	6.86345	21.54615	2.17725	2.87305	6.2198400000000005	0
Enorma	2|201174|84998|84999|84107|1472762	0.005679999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24155	0	0	0.20387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25509	0	0	0	0	0.00466	0.0034700000000000004	0	0	0	0	0	0	0	0	0.00564	0	0	0	0	0	0	0	0.022619999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00312	0	0	0	0
