pred	obs	Cancer	Healthy	rowIndex	mtry	Resample
Cancer	Cancer	0.582	0.418	1	3904	Fold1.Rep1
Cancer	Cancer	0.534	0.466	6	3904	Fold1.Rep1
Cancer	Cancer	0.55	0.45	7	3904	Fold1.Rep1
Healthy	Cancer	0.49	0.51	18	3904	Fold1.Rep1
Healthy	Healthy	0.392	0.608	25	3904	Fold1.Rep1
Healthy	Healthy	0.376	0.624	28	3904	Fold1.Rep1
Healthy	Healthy	0.28	0.72	31	3904	Fold1.Rep1
Cancer	Healthy	0.668	0.332	33	3904	Fold1.Rep1
Cancer	Cancer	0.604	0.396	8	3904	Fold2.Rep1
Cancer	Cancer	0.652	0.348	9	3904	Fold2.Rep1
Cancer	Cancer	0.694	0.306	17	3904	Fold2.Rep1
Cancer	Cancer	0.564	0.436	19	3904	Fold2.Rep1
Healthy	Healthy	0.396	0.604	21	3904	Fold2.Rep1
Cancer	Healthy	0.75	0.25	29	3904	Fold2.Rep1
Healthy	Healthy	0.446	0.554	36	3904	Fold2.Rep1
Healthy	Healthy	0.25	0.75	37	3904	Fold2.Rep1
Cancer	Cancer	0.588	0.412	10	3904	Fold3.Rep1
Healthy	Cancer	0.29	0.71	11	3904	Fold3.Rep1
Healthy	Cancer	0.366	0.634	12	3904	Fold3.Rep1
Cancer	Cancer	0.66	0.34	20	3904	Fold3.Rep1
Healthy	Healthy	0.272	0.728	22	3904	Fold3.Rep1
Healthy	Healthy	0.328	0.672	26	3904	Fold3.Rep1
Healthy	Healthy	0.238	0.762	27	3904	Fold3.Rep1
Healthy	Healthy	0.418	0.582	38	3904	Fold3.Rep1
Cancer	Cancer	0.782	0.218	2	3904	Fold4.Rep1
Cancer	Cancer	0.69	0.31	3	3904	Fold4.Rep1
Cancer	Cancer	0.656	0.344	4	3904	Fold4.Rep1
Cancer	Cancer	0.58	0.42	5	3904	Fold4.Rep1
Cancer	Healthy	0.576	0.424	23	3904	Fold4.Rep1
Healthy	Healthy	0.384	0.616	24	3904	Fold4.Rep1
Cancer	Healthy	0.708	0.292	30	3904	Fold4.Rep1
Healthy	Healthy	0.498	0.502	39	3904	Fold4.Rep1
Cancer	Cancer	0.588	0.412	13	3904	Fold5.Rep1
Healthy	Cancer	0.33	0.67	14	3904	Fold5.Rep1
Cancer	Cancer	0.518	0.482	15	3904	Fold5.Rep1
Cancer	Cancer	0.614	0.386	16	3904	Fold5.Rep1
Healthy	Healthy	0.36	0.64	32	3904	Fold5.Rep1
Healthy	Healthy	0.188	0.812	34	3904	Fold5.Rep1
Healthy	Healthy	0.308	0.692	35	3904	Fold5.Rep1
Healthy	Healthy	0.364	0.636	40	3904	Fold5.Rep1
Cancer	Cancer	0.704	0.296	4	3904	Fold1.Rep2
Healthy	Cancer	0.49	0.51	7	3904	Fold1.Rep2
Cancer	Cancer	0.71	0.29	9	3904	Fold1.Rep2
Cancer	Cancer	0.612	0.388	15	3904	Fold1.Rep2
Cancer	Healthy	0.556	0.444	26	3904	Fold1.Rep2
Healthy	Healthy	0.314	0.686	31	3904	Fold1.Rep2
Healthy	Healthy	0.426	0.574	36	3904	Fold1.Rep2
Cancer	Healthy	0.622	0.378	38	3904	Fold1.Rep2
Cancer	Cancer	0.712	0.288	3	3904	Fold2.Rep2
