pred	obs	Cancer	Healthy	rowIndex	mtry	Resample
Healthy	Cancer	0.29	0.71	4	66	Fold1.Rep1
Healthy	Cancer	0.072	0.928	5	66	Fold1.Rep1
Cancer	Cancer	0.714	0.286	13	66	Fold1.Rep1
Healthy	Cancer	0.114	0.886	15	66	Fold1.Rep1
Healthy	Healthy	0.084	0.916	20	66	Fold1.Rep1
Healthy	Healthy	0.272	0.728	22	66	Fold1.Rep1
Healthy	Healthy	0.07	0.93	28	66	Fold1.Rep1
Cancer	Healthy	0.676	0.324	35	66	Fold1.Rep1
Healthy	Cancer	0.338	0.662	6	66	Fold2.Rep1
Healthy	Cancer	0.128	0.872	7	66	Fold2.Rep1
Cancer	Cancer	0.754	0.246	11	66	Fold2.Rep1
Cancer	Cancer	0.692	0.308	14	66	Fold2.Rep1
Healthy	Healthy	0.122	0.878	24	66	Fold2.Rep1
Cancer	Healthy	0.566	0.434	30	66	Fold2.Rep1
Cancer	Healthy	0.622	0.378	34	66	Fold2.Rep1
Healthy	Healthy	0.214	0.786	36	66	Fold2.Rep1
Healthy	Cancer	0.424	0.576	8	66	Fold3.Rep1
Cancer	Cancer	0.648	0.352	9	66	Fold3.Rep1
Cancer	Cancer	0.55	0.45	16	66	Fold3.Rep1
Cancer	Cancer	0.71	0.29	18	66	Fold3.Rep1
Healthy	Healthy	0.216	0.784	27	66	Fold3.Rep1
Healthy	Healthy	0.22	0.78	31	66	Fold3.Rep1
Cancer	Healthy	0.578	0.422	32	66	Fold3.Rep1
Cancer	Healthy	0.564	0.436	37	66	Fold3.Rep1
Cancer	Cancer	0.698	0.302	1	66	Fold4.Rep1
Cancer	Cancer	0.746	0.254	2	66	Fold4.Rep1
Healthy	Cancer	0.478	0.522	3	66	Fold4.Rep1
Healthy	Healthy	0.208	0.792	21	66	Fold4.Rep1
Healthy	Healthy	0.378	0.622	25	66	Fold4.Rep1
Cancer	Healthy	0.582	0.418	29	66	Fold4.Rep1
Healthy	Healthy	0.382	0.618	33	66	Fold4.Rep1
Healthy	Cancer	0.374	0.626	10	66	Fold5.Rep1
Cancer	Cancer	0.842	0.158	12	66	Fold5.Rep1
Cancer	Cancer	0.936	0.064	17	66	Fold5.Rep1
Cancer	Cancer	0.934	0.066	19	66	Fold5.Rep1
Cancer	Healthy	0.734	0.266	23	66	Fold5.Rep1
Cancer	Healthy	0.766	0.234	26	66	Fold5.Rep1
Cancer	Healthy	0.766	0.234	38	66	Fold5.Rep1
Healthy	Cancer	0.262	0.738	4	66	Fold1.Rep2
Cancer	Cancer	0.714	0.286	9	66	Fold1.Rep2
Cancer	Cancer	0.59	0.41	13	66	Fold1.Rep2
Cancer	Cancer	0.56	0.44	14	66	Fold1.Rep2
Healthy	Healthy	0.418	0.582	22	66	Fold1.Rep2
Healthy	Healthy	0.222	0.778	27	66	Fold1.Rep2
Cancer	Healthy	0.584	0.416	29	66	Fold1.Rep2
Healthy	Healthy	0.186	0.814	36	66	Fold1.Rep2
Cancer	Cancer	0.586	0.414	3	66	Fold2.Rep2
Cancer	Cancer	0.536	0.464	16	66	Fold2.Rep2
