contig_id,cluster_id
0.concoct_part_0,1
1.concoct_part_0,1
2.concoct_part_0,1
3.concoct_part_0,11
4.concoct_part_0,1
5.concoct_part_0,9
6.concoct_part_0,1
7.concoct_part_0,1
8.concoct_part_0,1
9.concoct_part_0,1
10.concoct_part_0,9
11.concoct_part_0,4
12.concoct_part_0,0
12.concoct_part_1,0
13.concoct_part_0,9
14.concoct_part_0,1
15.concoct_part_0,1
16.concoct_part_0,9
17.concoct_part_0,1
18.concoct_part_0,6
19.concoct_part_0,9
20.concoct_part_0,9
21.concoct_part_0,10
22.concoct_part_0,1
23.concoct_part_0,9
24.concoct_part_0,9
25.concoct_part_0,4
26.concoct_part_0,4
27.concoct_part_0,1
28.concoct_part_0,7
29.concoct_part_0,9
30.concoct_part_0,9
31.concoct_part_0,1
32.concoct_part_0,7
33.concoct_part_0,4
34.concoct_part_0,9
35.concoct_part_0,7
36.concoct_part_0,1
37.concoct_part_0,7
38.concoct_part_0,1
39.concoct_part_0,1
40.concoct_part_0,9
41.concoct_part_0,1
42.concoct_part_0,4
43.concoct_part_0,1
44.concoct_part_0,9
45.concoct_part_0,9
46.concoct_part_0,1
47.concoct_part_0,1
48.concoct_part_0,1
49.concoct_part_0,4
50.concoct_part_0,1
51.concoct_part_0,9
52.concoct_part_0,1
53.concoct_part_0,9
54.concoct_part_0,1
55.concoct_part_0,1
56.concoct_part_0,1
57.concoct_part_0,1
58.concoct_part_0,1
59.concoct_part_0,1
60.concoct_part_0,4
61.concoct_part_0,1
62.concoct_part_0,9
63.concoct_part_0,1
64.concoct_part_0,1
64.concoct_part_1,1
64.concoct_part_2,1
65.concoct_part_0,1
66.concoct_part_0,1
67.concoct_part_0,9
68.concoct_part_0,1
69.concoct_part_0,9
70.concoct_part_0,9
71.concoct_part_0,1
72.concoct_part_0,1
73.concoct_part_0,1
74.concoct_part_0,1
75.concoct_part_0,1
76.concoct_part_0,1
77.concoct_part_0,1
78.concoct_part_0,7
79.concoct_part_0,7
80.concoct_part_0,1
81.concoct_part_0,1
82.concoct_part_0,1
83.concoct_part_0,1
84.concoct_part_0,1
85.concoct_part_0,9
86.concoct_part_0,7
87.concoct_part_0,9
88.concoct_part_0,9
89.concoct_part_0,1
90.concoct_part_0,1
91.concoct_part_0,1
92.concoct_part_0,6
93.concoct_part_0,1
94.concoct_part_0,1
95.concoct_part_0,1
96.concoct_part_0,4
96.concoct_part_1,4
97.concoct_part_0,1
98.concoct_part_0,9
99.concoct_part_0,1
100.concoct_part_0,1
101.concoct_part_0,7
102.concoct_part_0,13
103.concoct_part_0,1
104.concoct_part_0,4
105.concoct_part_0,9
106.concoct_part_0,1
107.concoct_part_0,13
108.concoct_part_0,1
109.concoct_part_0,1
110.concoct_part_0,1
111.concoct_part_0,1
112.concoct_part_0,9
113.concoct_part_0,9
114.concoct_part_0,1
115.concoct_part_0,9
116.concoct_part_0,1
117.concoct_part_0,9
118.concoct_part_0,1
119.concoct_part_0,6
120.concoct_part_0,1
121.concoct_part_0,1
122.concoct_part_0,9
123.concoct_part_0,1
124.concoct_part_0,9
125.concoct_part_0,1
126.concoct_part_0,1
127.concoct_part_0,1
128.concoct_part_0,1
129.concoct_part_0,1
130.concoct_part_0,1
131.concoct_part_0,1
132.concoct_part_0,1
133.concoct_part_0,1
134.concoct_part_0,1
135.concoct_part_0,1
136.concoct_part_0,1
137.concoct_part_0,1
138.concoct_part_0,1
138.concoct_part_1,1
139.concoct_part_0,7
140.concoct_part_0,1
141.concoct_part_0,1
142.concoct_part_0,13
143.concoct_part_0,1
144.concoct_part_0,9
145.concoct_part_0,1
146.concoct_part_0,1
147.concoct_part_0,1
148.concoct_part_0,1
149.concoct_part_0,1
150.concoct_part_0,1
151.concoct_part_0,1
152.concoct_part_0,4
153.concoct_part_0,1
153.concoct_part_1,1
154.concoct_part_0,6
155.concoct_part_0,1
156.concoct_part_0,1
157.concoct_part_0,1
158.concoct_part_0,1
159.concoct_part_0,9
160.concoct_part_0,1
161.concoct_part_0,1
162.concoct_part_0,1
163.concoct_part_0,1
164.concoct_part_0,1
165.concoct_part_0,9
166.concoct_part_0,9
167.concoct_part_0,1
168.concoct_part_0,9
169.concoct_part_0,1
170.concoct_part_0,1
171.concoct_part_0,1
172.concoct_part_0,1
173.concoct_part_0,7
174.concoct_part_0,4
174.concoct_part_1,4
175.concoct_part_0,1
176.concoct_part_0,1
177.concoct_part_0,1
178.concoct_part_0,9
179.concoct_part_0,1
180.concoct_part_0,7
181.concoct_part_0,7
182.concoct_part_0,1
183.concoct_part_0,1
184.concoct_part_0,1
185.concoct_part_0,1
186.concoct_part_0,1
187.concoct_part_0,2
188.concoct_part_0,1
189.concoct_part_0,1
190.concoct_part_0,4
191.concoct_part_0,1
192.concoct_part_0,1
193.concoct_part_0,6
194.concoct_part_0,1
195.concoct_part_0,9
196.concoct_part_0,7
197.concoct_part_0,9
198.concoct_part_0,1
199.concoct_part_0,1
200.concoct_part_0,1
201.concoct_part_0,4
202.concoct_part_0,1
203.concoct_part_0,1
204.concoct_part_0,1
205.concoct_part_0,9
206.concoct_part_0,1
207.concoct_part_0,1
208.concoct_part_0,7
209.concoct_part_0,1
210.concoct_part_0,9
211.concoct_part_0,1
212.concoct_part_0,1
213.concoct_part_0,1
214.concoct_part_0,1
215.concoct_part_0,9
216.concoct_part_0,1
217.concoct_part_0,1
218.concoct_part_0,9
219.concoct_part_0,9
220.concoct_part_0,1
221.concoct_part_0,1
222.concoct_part_0,1
223.concoct_part_0,9
224.concoct_part_0,1
225.concoct_part_0,4
226.concoct_part_0,1
227.concoct_part_0,9
228.concoct_part_0,1
229.concoct_part_0,1
229.concoct_part_1,1
229.concoct_part_2,1
229.concoct_part_3,1
230.concoct_part_0,7
231.concoct_part_0,1
232.concoct_part_0,1
233.concoct_part_0,1
234.concoct_part_0,1
235.concoct_part_0,1
236.concoct_part_0,1
237.concoct_part_0,1
238.concoct_part_0,1
239.concoct_part_0,1
240.concoct_part_0,1
241.concoct_part_0,1
242.concoct_part_0,1
243.concoct_part_0,1
244.concoct_part_0,1
245.concoct_part_0,1
246.concoct_part_0,6
247.concoct_part_0,9
248.concoct_part_0,1
249.concoct_part_0,9
250.concoct_part_0,9
251.concoct_part_0,1
252.concoct_part_0,1
253.concoct_part_0,4
254.concoct_part_0,1
255.concoct_part_0,9
256.concoct_part_0,9
257.concoct_part_0,1
258.concoct_part_0,1
259.concoct_part_0,4
260.concoct_part_0,9
261.concoct_part_0,1
262.concoct_part_0,1
263.concoct_part_0,1
264.concoct_part_0,1
265.concoct_part_0,1
266.concoct_part_0,9
267.concoct_part_0,4
268.concoct_part_0,1
269.concoct_part_0,1
270.concoct_part_0,2
271.concoct_part_0,1
272.concoct_part_0,1
273.concoct_part_0,1
274.concoct_part_0,1
275.concoct_part_0,7
276.concoct_part_0,1
277.concoct_part_0,7
278.concoct_part_0,7
279.concoct_part_0,1
280.concoct_part_0,1
281.concoct_part_0,9
282.concoct_part_0,9
283.concoct_part_0,1
284.concoct_part_0,9
285.concoct_part_0,7
286.concoct_part_0,9
287.concoct_part_0,1
288.concoct_part_0,1
289.concoct_part_0,9
290.concoct_part_0,1
291.concoct_part_0,6
292.concoct_part_0,9
293.concoct_part_0,7
294.concoct_part_0,1
295.concoct_part_0,6
296.concoct_part_0,1
297.concoct_part_0,1
298.concoct_part_0,9
299.concoct_part_0,1
300.concoct_part_0,1
301.concoct_part_0,1
302.concoct_part_0,9
303.concoct_part_0,7
304.concoct_part_0,1
305.concoct_part_0,7
306.concoct_part_0,1
307.concoct_part_0,9
308.concoct_part_0,1
309.concoct_part_0,4
310.concoct_part_0,1
311.concoct_part_0,7
312.concoct_part_0,1
313.concoct_part_0,1
314.concoct_part_0,1
315.concoct_part_0,4
316.concoct_part_0,1
